epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
142,1886.97,1.0469,0.86749,1.14345,0.94767,0.91818,0.96191,0.66383,1.13306,0.69294,1.16975,0.006898,0.006898,0.006898
143,1899.22,1.06695,0.86274,1.15764,0.93929,0.91008,0.95157,0.6527,1.19136,0.73145,1.17938,0.006876,0.006876,0.006876
144,1911.48,1.05522,0.87663,1.15502,0.94069,0.91097,0.95223,0.65705,1.16698,0.73249,1.1666,0.006854,0.006854,0.006854
145,1923.56,1.05452,0.86798,1.14964,0.9402,0.91975,0.95897,0.66753,1.13014,0.69717,1.15717,0.006832,0.006832,0.006832
146,1935.7,1.05657,0.86194,1.14146,0.92088,0.88312,0.94701,0.66206,1.13104,0.72362,1.15157,0.00681,0.00681,0.00681
147,1947.91,1.05195,0.85129,1.14935,0.92206,0.90929,0.95315,0.65912,1.15314,0.72171,1.16765,0.006788,0.006788,0.006788
148,1960.09,1.05535,0.85121,1.14469,0.90101,0.91748,0.95288,0.66419,1.12455,0.71494,1.16372,0.006766,0.006766,0.006766
149,1972.23,1.03174,0.84077,1.13579,0.92655,0.93181,0.95972,0.67309,1.11124,0.68483,1.14434,0.006744,0.006744,0.006744
150,1984.41,1.04227,0.84804,1.14163,0.92541,0.92743,0.9641,0.68405,1.10519,0.6731,1.15815,0.006722,0.006722,0.006722
151,1996.74,1.04362,0.85999,1.1454,0.92739,0.91693,0.96179,0.67137,1.12005,0.70179,1.16788,0.0067,0.0067,0.0067
152,2008.84,1.04056,0.83841,1.13761,0.94264,0.90935,0.96206,0.67047,1.13007,0.6905,1.16957,0.006678,0.006678,0.006678
153,2020.95,1.03957,0.84856,1.13795,0.9328,0.9225,0.95607,0.65864,1.13684,0.71052,1.1692,0.006656,0.006656,0.006656
154,2032.99,1.03181,0.83559,1.13375,0.93157,0.90847,0.95832,0.68305,1.1193,0.70729,1.15568,0.006634,0.006634,0.006634
155,2045.13,1.04282,0.8576,1.14266,0.94955,0.89832,0.95264,0.67988,1.14085,0.71935,1.1659,0.006612,0.006612,0.006612
156,2057.24,1.02607,0.82638,1.13044,0.92009,0.9119,0.95271,0.67215,1.13675,0.71611,1.15991,0.00659,0.00659,0.00659
157,2069.38,1.01075,0.82378,1.12695,0.94695,0.90483,0.95182,0.67523,1.1406,0.7005,1.16196,0.006568,0.006568,0.006568
158,2081.49,1.04538,0.8532,1.15622,0.93367,0.91855,0.94806,0.66034,1.16875,0.69769,1.17642,0.006546,0.006546,0.006546
159,2093.57,1.04283,0.85106,1.14267,0.9432,0.91927,0.95061,0.67435,1.11686,0.68757,1.13895,0.006524,0.006524,0.006524
160,2105.8,1.04084,0.85544,1.14576,0.94165,0.91602,0.95172,0.68017,1.11404,0.69335,1.1382,0.006502,0.006502,0.006502
161,2118.14,1.03425,0.8361,1.13091,0.91962,0.91357,0.94884,0.67245,1.136,0.70372,1.14577,0.00648,0.00648,0.00648
162,2130.31,1.01731,0.84161,1.12183,0.92826,0.90886,0.95856,0.67194,1.13778,0.69468,1.15775,0.006458,0.006458,0.006458
163,2142.44,1.02297,0.83466,1.13188,0.9352,0.91067,0.94886,0.67676,1.11155,0.68334,1.14468,0.006436,0.006436,0.006436
164,2154.59,1.02784,0.8388,1.13021,0.92482,0.9138,0.93935,0.66612,1.11577,0.69858,1.15518,0.006414,0.006414,0.006414
165,2166.76,1.03383,0.8309,1.12827,0.92399,0.92424,0.95421,0.67187,1.13336,0.69225,1.1549,0.006392,0.006392,0.006392
166,2178.91,1.01972,0.8234,1.12485,0.94774,0.9019,0.95084,0.66712,1.11187,0.69123,1.14571,0.00637,0.00637,0.00637
167,2191.01,1.01555,0.82287,1.1263,0.93619,0.90963,0.94964,0.66674,1.14291,0.72108,1.16159,0.006348,0.006348,0.006348
168,2203.16,1.01145,0.83225,1.12665,0.94439,0.91242,0.95426,0.67889,1.14374,0.68293,1.16013,0.006326,0.006326,0.006326
169,2215.48,1.02625,0.822,1.12444,0.93591,0.92788,0.96143,0.67668,1.13547,0.67966,1.15236,0.006304,0.006304,0.006304
170,2227.67,1.02508,0.82493,1.13339,0.92857,0.92469,0.95599,0.67248,1.1227,0.68491,1.15907,0.006282,0.006282,0.006282
171,2239.84,1.01591,0.80686,1.12125,0.91218,0.91254,0.95225,0.67502,1.1224,0.69812,1.14752,0.00626,0.00626,0.00626
172,2251.91,1.02208,0.81823,1.1292,0.92202,0.91221,0.95739,0.67593,1.13349,0.70135,1.15218,0.006238,0.006238,0.006238
173,2263.98,1.01831,0.80172,1.11417,0.92462,0.93348,0.95987,0.68368,1.13384,0.68319,1.14975,0.006216,0.006216,0.006216
174,2276.09,1.02089,0.82163,1.12581,0.9326,0.90966,0.95884,0.68436,1.13038,0.68852,1.15119,0.006194,0.006194,0.006194
175,2288.28,1.01585,0.82005,1.11945,0.94443,0.91766,0.95984,0.6913,1.11041,0.68055,1.1384,0.006172,0.006172,0.006172
176,2300.4,1.00428,0.81401,1.11986,0.92655,0.92777,0.96227,0.67563,1.11582,0.70068,1.14695,0.00615,0.00615,0.00615
177,2312.51,1.01231,0.8111,1.1242,0.94189,0.93439,0.96068,0.68651,1.12099,0.6723,1.15745,0.006128,0.006128,0.006128
178,2324.65,1.01612,0.81451,1.1283,0.91909,0.93167,0.96004,0.6789,1.1211,0.66469,1.15249,0.006106,0.006106,0.006106
179,2336.73,0.99967,0.80277,1.1187,0.93579,0.92349,0.95908,0.68292,1.11431,0.6804,1.15462,0.006084,0.006084,0.006084
180,2348.84,0.99491,0.79898,1.11295,0.93236,0.93083,0.95286,0.67561,1.10991,0.66267,1.15243,0.006062,0.006062,0.006062
181,2361,1.00164,0.80011,1.11824,0.94049,0.90982,0.95686,0.68087,1.11833,0.68941,1.15638,0.00604,0.00604,0.00604
182,2373.18,1.01953,0.80711,1.12303,0.94097,0.92572,0.96205,0.67898,1.13367,0.66873,1.15237,0.006018,0.006018,0.006018
183,2385.35,0.99373,0.78415,1.11171,0.92642,0.92076,0.95321,0.67545,1.11945,0.68091,1.15534,0.005996,0.005996,0.005996
184,2397.43,0.99222,0.79479,1.11236,0.94505,0.9116,0.95655,0.68184,1.12909,0.66967,1.16188,0.005974,0.005974,0.005974
185,2409.54,1.00099,0.81198,1.12146,0.93769,0.92179,0.95285,0.67805,1.12002,0.65605,1.16355,0.005952,0.005952,0.005952
186,2421.64,0.99708,0.78692,1.11599,0.92332,0.92326,0.95724,0.67973,1.10806,0.65774,1.13302,0.00593,0.00593,0.00593
187,2433.89,0.98781,0.80112,1.10627,0.93539,0.90902,0.95105,0.67721,1.08443,0.66686,1.13445,0.005908,0.005908,0.005908
